"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Cancel Order","0","0","Cancel an already cancelled order","0"
"1","","0","Checkout","0","0","Place an order","0"
"1","","0","Order Access Security","0","0","User cannot access another user's order","0"
"1","","0","End-to-End Checkout","0","0","Verify order through UI API and Database","0"
"1","","0","Security","0","0","Invalid login","0"
"1","","0","Product Search","0","0","Search a product","0"
"1","","0","Out Of Stock","0","0","User cannot add an out of stock product","0"
"1","","0","Login","0","0","Successful login","0"
"1","","0","Order","0","0","View placed order","0"
"1","","0","Cart","0","0","Add product to cart","0"
