"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","206","Search a product","","2026-07-13","broken","2026-07-13","","Product Search","Search a product",""
"","2237","validLogin()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.LoginApiTest","com.shopkart.api.tests.LoginApiTest","validLogin"
"","211","View placed order","","2026-07-13","broken","2026-07-13","","Order","View placed order",""
"","18","shouldGetAllProducts()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.ProductApiTest","com.shopkart.api.tests.ProductApiTest","shouldGetAllProducts"
"","209","Successful login","","2026-07-13","broken","2026-07-13","","Login","Successful login",""
"","2518","Add product to cart","","2026-07-13","broken","2026-07-13","","Cart","Add product to cart",""
"","31","User cannot add an out of stock product","","2026-07-13","broken","2026-07-13","","Out Of Stock","User cannot add an out of stock product",""
"","61","shouldSearchProduct()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.ProductApiTest","com.shopkart.api.tests.ProductApiTest","shouldSearchProduct"
"","228","Place an order","","2026-07-13","broken","2026-07-13","","Checkout","Place an order",""
"","209","Invalid login","","2026-07-13","broken","2026-07-13","","Security","Invalid login",""
"","222","Verify order through UI API and Database","","2026-07-13","broken","2026-07-13","","End-to-End Checkout","Verify order through UI API and Database",""
"","57","Cancel an already cancelled order","","2026-07-13","broken","2026-07-13","","Cancel Order","Cancel an already cancelled order",""
"","19","User cannot access another user's order","","2026-07-13","broken","2026-07-13","","Order Access Security","User cannot access another user's order",""
